Week,sales,branded_search_spend,nonbranded_search_spend,facebook_spend,print_spend,ooh_spend,tv_spend,radio_spend
7/23/2017,58850,1528.8,463.32,802.62,0,0,0,0
7/30/2017,62050,1575.6,468,819.312,0,0,0,0
8/6/2017,59388,1544.4,477.36,749.034,0,0,0,0
8/13/2017,56964,1528.8,468,741.468,0,0,0,0
8/20/2017,53460,1560,458.64,811.2,0,0,0,0
8/27/2017,59896,1606.8,472.68,827.502,0,0,0,0
9/3/2017,59692,1606.8,477.36,819.468,0,0,0,0
9/10/2017,56800,1575.6,472.68,795.678,0,0,0,0
9/17/2017,48000,1591.2,468,779.688,0,0,0,0
9/24/2017,44400,1528.8,463.32,779.688,0,0,0,0
10/1/2017,42768,1591.2,468,771.732,0,0,0,0
10/8/2017,58212,1575.6,458.64,764.166,0,0,0,0
10/15/2017,53328,1544.4,468,764.478,1000,0,0,0
10/22/2017,50904,1528.8,238.68,741.468,1000,0,0,0
10/29/2017,70296,1591.2,229.32,819.468,1000,0,0,0
11/5/2017,51600,1575.6,234,811.434,1000,0,0,0
11/12/2017,51600,1544.4,229.32,803.088,1000,0,0,0
11/19/2017,60588,1528.8,231.66,779.688,1000,0,0,0
11/26/2017,59400,1606.8,234,827.502,1000,0,0,0
12/3/2017,57600,1606.8,238.68,763.23,1000,0,0,0
12/10/2017,57600,1560,234,787.8,1000,0,0,0
12/17/2017,57024,1591.2,238.68,827.424,1000,0,0,0
12/24/2017,47520,1528.8,234,787.332,1000,0,0,0
12/31/2017,44844,1575.6,229.32,811.434,1000,0,0,0
1/7/2018,43956,1544.4,236.34,756.756,1000,0,0,0
1/14/2018,54648,1544.4,229.32,733.59,1000,0,0,0
1/21/2018,56964,1591.2,234,763.776,1000,0,0,2000
1/28/2018,63084,1560,231.66,787.8,1000,0,0,2000
2/4/2018,61896,1575.6,231.66,811.434,1000,0,0,2000
2/11/2018,61200,1544.4,236.34,764.478,1000,0,0,2000
2/18/2018,67752,1544.4,238.68,741.312,1000,0,0,2000
2/25/2018,71388,1606.8,234,787.332,1000,0,0,2000
3/4/2018,58332,1560,231.66,811.2,0,0,0,2000
3/11/2018,58332,1560,238.68,819,0,0,0,2000
3/18/2018,59520,1606.8,238.68,771.264,0,0,0,2000
3/25/2018,64800,1528.8,236.34,764.4,0,0,0,2000
4/1/2018,52272,1606.8,229.32,787.332,0,0,0,2000
4/8/2018,53328,1606.8,234,763.23,0,0,0,0
4/15/2018,46332,1750.32,234,883.9116,0,0,0,0
4/22/2018,55752,1750.32,238.68,831.402,0,0,0,0
4/29/2018,58176,1681.68,231.66,815.6148,0,0,0,0
5/6/2018,57600,1698.84,231.66,815.4432,0,0,0,0
5/13/2018,55752,1733.16,229.32,875.2458,0,0,0,0
5/20/2018,56400,1733.16,238.68,857.9142,0,0,0,0
5/27/2018,59400,1716,231.66,849.42,0,0,0,0
6/3/2018,58176,1767.48,238.68,839.553,0,0,0,0
6/10/2018,58800,1733.16,238.68,883.9116,0,0,0,0
6/17/2018,55752,1750.32,231.66,840.1536,0,0,0,0
6/24/2018,58800,1698.84,238.68,832.4316,0,0,0,0
7/1/2018,59400,1698.84,231.66,874.9026,0,0,0,0
7/8/2018,59400,1750.32,234,910.1664,0,0,0,0
7/15/2018,57600,1733.16,231.66,883.9116,0,0,0,0
7/22/2018,57024,1698.84,231.66,806.949,0,0,0,0
7/29/2018,58212,1750.32,238.68,883.9116,0,0,0,0
8/5/2018,55836,1733.16,238.68,857.9142,0,0,0,0
8/12/2018,55752,1733.16,238.68,892.5774,0,0,0,0
8/19/2018,52116,1528.8,234,741.468,0,0,0,0
8/26/2018,57024,1575.6,236.34,787.8,0,1000,0,0
9/2/2018,65836,1544.4,636.34,764.478,0,1000,0,0
9/9/2018,60400,1606.8,629.32,827.502,0,1000,0,0
9/16/2018,60400,1575.6,629.32,787.8,0,1000,0,0
9/23/2018,59040,1591.2,275.184,835.38,0,1000,0,0
9/30/2018,56721.6,1606.8,286.416,827.502,0,1000,0,0
10/7/2018,49896,1560,286.416,780,0,1000,0,0
10/14/2018,47520,1575.6,280.8,787.8,0,1000,0,0
10/21/2018,44640,1560,283.608,741,0,1000,0,0
10/28/2018,44193.6,1606.8,275.184,771.264,0,1000,0,0
11/4/2018,47044.8,1560,280.8,741,0,1000,0,0
11/11/2018,42768,1606.8,286.416,787.332,0,1000,0,0
11/18/2018,55598.4,1606.8,275.184,843.57,0,1000,0,0
11/25/2018,52747.2,1528.8,280.8,794.976,0,1000,0,0
12/2/2018,43632,1606.8,286.416,779.298,1500,1000,0,0
12/9/2018,41342.4,1528.8,280.8,764.4,1500,1000,0,0
12/16/2018,47995.2,1591.2,275.184,803.556,1500,1000,0,0
12/23/2018,39916.8,1575.6,280.8,803.556,1500,1000,0,0
12/30/2018,39268.8,1544.4,283.608,787.644,1500,1000,0,0
1/6/2019,37440,1560,277.992,756.6,1500,1000,0,0
1/13/2019,36360,1528.8,275.184,802.62,1500,1000,0,0
1/20/2019,34905.6,1606.8,275.184,811.434,1500,1000,0,0
1/27/2019,31512,1591.2,275.184,763.776,1500,1000,0,0
2/3/2019,30888,1575.6,234,811.434,1500,1000,0,0
